,pm2_5,pm2_5,pm2_5,pm2_5,Temperature,WindSpeed,Humidity,Pressure,traffic
2020-06-26 20:00:00,6.273486518859864,7.282398564474923,7.03875716527303,7.432456016540527,20.5,11.0,64.0,29.755,175.61358916666666
2020-06-26 21:00:00,6.834257507324219,7.453514456748962,7.000510179079496,7.528726037343343,17.5,12.0,75.0,29.77,143.56489083333335
2020-06-26 22:00:00,6.462957314082554,7.394062081972758,7.048725673130581,6.956591239342322,16.0,10.0,83.0,29.77,123.82525583333334
2020-06-26 23:00:00,5.707103627068656,6.4848946162632535,6.103437463442485,6.554135872767522,16.0,10.0,83.0,29.77,86.50594416666668
2020-06-27 00:00:00,5.544931207384382,6.374582386016845,5.959808707237244,6.6997531822749545,15.0,9.0,82.0,29.74,64.86892416666666
2020-06-27 01:00:00,6.041045157114665,7.364244397481283,6.542520840962728,7.13013428908128,15.0,7.0,82.0,29.74,49.417945833333334
2020-06-27 02:00:00,9.72047792162214,10.296007224491664,9.89319498198373,11.227727816655086,16.0,8.0,83.0,29.74,34.069545
2020-06-27 03:00:00,10.010255559285481,11.528675592862642,10.840716770717076,11.308981657028198,16.0,7.0,83.0,29.71,32.97651833333334
2020-06-27 04:00:00,6.9645626204354425,8.144644124167305,8.186712821324667,8.233650173459734,16.0,7.0,88.0,29.71,29.16795
2020-06-27 05:00:00,5.049729760487875,6.0553284883499146,5.609295129776001,6.732101058959961,17.0,8.0,83.0,29.68,35.55831333333334
2020-06-27 06:00:00,2.1366027410213766,2.531403694834028,2.585425819669451,2.8082262873649597,15.0,9.0,100.0,29.68,41.767379166666665
2020-06-27 07:00:00,4.784041404724121,4.653634053010207,4.574593655268351,5.783601562182109,16.0,9.0,94.0,29.665,71.91342083333332
2020-06-27 08:00:00,6.405120436350504,6.56479981967381,6.590965713773455,7.744747979300363,16.0,11.5,94.0,29.65,95.47695083333333
2020-06-27 09:00:00,5.9466849735804965,6.5745775149418755,6.969905535380046,7.3297500292460125,17.0,14.5,88.0,29.65,121.4029158333333
2020-06-27 10:00:00,3.722464391163417,4.628665941102164,4.15000688112699,5.1835194144930155,17.5,14.0,88.0,29.634999999999998,168.11128416666665
2020-06-27 11:00:00,4.720670291355678,4.75828153292338,4.954005347357856,5.8897653222084045,17.5,16.0,88.0,29.62,197.37232833333334
2020-06-27 12:00:00,3.9732388257980347,4.0388366937637326,4.349034368991852,4.870734850565593,19.0,18.0,78.0,29.62,216.81942916666665
2020-06-27 13:00:00,4.750562127431234,4.426661968231201,4.962945461273193,5.284458637237549,20.0,20.5,71.0,29.62,225.00657500000003
2020-06-27 14:00:00,6.410691090992519,6.693672784169515,6.8028030054909845,7.595521780160757,19.5,19.5,62.0,29.62,257.66947250000004
2020-06-27 15:00:00,5.660110569000244,5.6530503034591675,5.554514994988074,6.267041649137225,19.0,19.0,66.0,29.62,275.6151233333334
2020-06-27 16:00:00,5.8854678471883135,6.051641591389974,6.060512105623881,7.023884375890096,19.0,18.0,68.0,29.62,272.26992
2020-06-27 17:00:00,5.618939436399019,5.620509734520545,5.99459810256958,6.353009187258207,19.0,19.5,66.0,29.62,286.634355
2020-06-27 18:00:00,8.121281623840332,8.081110000610352,8.045134884970528,9.854312388102214,19.0,20.5,64.0,29.62,233.7353183333333
2020-06-27 19:00:00,15.601140389075645,15.700869696480888,15.351688971886269,17.462714831034344,17.5,15.5,72.5,29.65,210.5010125
2020-06-27 20:00:00,19.369484424591064,19.071897718641495,18.861891810099284,21.497413158416748,17.0,13.5,75.0,29.65,167.1882958333333
2020-06-27 21:00:00,20.022962697347005,19.95041343144008,19.80721117655436,23.630343627929687,16.0,15.0,77.0,29.68,131.80941166666668
2020-06-27 22:00:00,17.83867052623204,16.570108277457102,17.23824998310634,19.361076491219656,15.0,15.0,77.0,29.71,121.55024416666664
2020-06-27 23:00:00,14.460799598693848,14.435677255902972,14.5258877827571,16.72361469268799,15.0,16.0,72.0,29.71,95.67719666666669
2020-06-28 00:00:00,15.608031113942465,15.45538059870402,14.483979225158691,17.3748824937003,15.0,13.0,72.0,29.71,53.978760833333325
2020-06-28 01:00:00,11.21364416394915,10.783583127535307,10.431567509969076,12.107913085392543,15.0,14.0,68.0,29.71,48.61380083333332
2020-06-28 02:00:00,9.070478757222494,8.610732351030622,7.656539073357215,9.225218645731609,13.0,17.0,72.0,29.74,39.76365666666667
2020-06-28 03:00:00,9.617114984072172,9.693194103240966,10.322299766540528,11.467407499040876,13.0,12.0,72.0,29.74,26.547774166666667
2020-06-28 04:00:00,12.365931193033854,12.020008427756173,11.90033551624843,13.833326559800367,12.0,13.0,77.0,29.74,23.159309166666663
2020-06-28 05:00:00,12.756992848714193,13.884532860347203,13.091863359723773,15.205558395385742,12.0,12.0,82.0,29.77,28.766994166666663
2020-06-28 06:00:00,10.867097514016288,12.453713621412005,11.869060516357422,13.99420131955828,13.0,15.0,77.0,29.77,32.68241
2020-06-28 07:00:00,8.908576726913452,10.306064172224565,9.45210940497262,11.434772638174204,14.0,15.0,72.0,29.8,42.192765
2020-06-28 08:00:00,7.988343969980876,7.7994136376814405,7.7991979122161865,8.939290205637613,15.5,16.5,65.5,29.8,61.47558916666667
2020-06-28 09:00:00,5.5531844774882,5.830230126014123,5.477939899151142,6.674761613210042,16.0,19.5,61.0,29.83,92.04389166666664
